day,experiment_name,variant_id,users,purchases
2021-08-01,buyingflow/address_hub,3574,193,146
2021-08-01,buyingflow/escWebMLA,2874,210,138
2021-08-01,buyingflow/secure_card,4612,4,4
2021-08-01,buyingflow/user-track,6796,225,150
2021-08-01,cookiesConsentBanner,DEFAULT,2181,211
2021-08-01,filters/sort-by-ranking,6971,606,57
2021-08-01,filters/sort-by-ranking,7057,612,60
2021-08-01,filters/sort-by-ranking,6972,613,57
2021-08-01,frontend/assetsCdnDomainMLA,DEFAULT,1826,173
2021-08-01,frontend/assetsCdnDomainMLU,DEFAULT,1824,173
2021-08-01,mclics/ads-adsearch-boost-incremental-desktop-mla,3809,1255,135
2021-08-01,mclics/search-list-algorithms,5528,1208,129
2021-08-01,mclics/search-pads-none-desktop-mla,3478,1210,129
2021-08-01,mclics/search-pads-none-desktop-mla,3479,21,3
2021-08-01,mclics/show-pads-global,5175,25,3
2021-08-01,mclics/show-pads-global,5176,1231,132
2021-08-01,mclics/show-pads-search-list,5145,21,3
2021-08-01,mclics/show-pads-search-list,5146,1210,129
2021-08-01,mshops/HideTransitionModal,6647,3,0
2021-08-01,mshops/HideTransitionModal,DEFAULT,12,2
2021-08-01,mshops/HideTransitionModal,6993,5,1
2021-08-01,mshops/HideTransitionModal,6646,2,0
2021-08-01,pdp/compatibilityWidget,5539,2,0
2021-08-01,pdp/cpgShowOnlyAddToCart,6690,15,1
2021-08-01,pdp/viewItemPageMigrationDesktopHirableSRV,7175,3,0
2021-08-01,pdp/viewItemPageMigrationDesktopHirableSRV,7174,2,0
2021-08-01,pdp/viewItemPageMigrationDesktopQuotableSRV,7179,2,0
2021-08-01,pdp/viewItemPageMigrationDesktopQuotableSRV,7178,5,2
2021-08-01,pdp/viewItemPageMigrationDesktopRES,5941,68,2
2021-08-01,pdp/viewItemPageMigrationDesktopReviewsNoTabs,DEFAULT,5,1
2021-08-01,pdp/viewItemPageMigrationDesktopReviewsNoTabs,4856,1095,145
2021-08-01,pdp/viewItemPageMigrationReturns,5208,1177,149
2021-08-01,pdp/viewItemPageMigrationReturns,DEFAULT,7,0
2021-08-01,qadb/sa-on-vip,6695,231,19
2021-08-01,qadb/sa-on-vip,6696,234,38
2021-08-01,reviewsOnOff,205,8,2
2021-08-01,search/back-filters,5059,1824,173
2021-08-01,search/back-filters,DEFAULT,1,0
2021-08-01,search/best-seller-aa-testing-fail-fast-edition,4515,718,83
2021-08-01,search/best-seller-aa-testing-fail-fast-edition,4514,715,70
2021-08-01,search/best-seller-aa-testing-fail-fast-edition,DEFAULT,1,0
2021-08-01,search/best-seller-fail-fast-edition-MLA,4916,1427,151
2021-08-01,search/best-seller-fail-fast-edition-MLA,DEFAULT,1,0
2021-08-01,search/checkOnBehavior,349,21,3
2021-08-01,search/checkOnBehavior,348,23,3
2021-08-01,search/enable-map-layout,5929,72,3
2021-08-01,search/remove-ecn-tag,4954,1902,199
2021-08-01,search/remove-ecn-tag,DEFAULT,9,0
2021-08-01,search/results-target-web-motors,7328,110,5
2021-08-01,search/results-target-web-motors,7327,89,1
2021-08-01,search/tendency-landing-enabled-MLA,6980,668,103
2021-08-01,search/ungroup-products,3273,909,95
2021-08-01,search/web-layout-default-res,6806,35,0
2021-08-01,search/web-layout-default-res,6807,38,3
2021-08-01,searchbackend/cbt-antiboost,6333,1674,169
2021-08-01,searchbackend/item-reputation,3824,1809,171
2021-08-01,searchbackend/official-store-orders-boost,4313,88,13
2021-08-01,searchbackend/official-store-orders-boost,4314,107,10
2021-08-01,searchbackend/recommended-products,6158,959,91
2021-08-01,searchbackend/recommended-products,6157,876,83
2021-08-01,searchbackend/seller-reputation-change,4552,399,30
2021-08-01,searchbackend/seller-reputation-change,4553,1419,142
2021-08-01,splinter/official-stores,4926,7,1
2021-08-01,vip/carousel-v2p-above-the-fold,6786,719,94
2021-08-01,vip/carousel-v2p-above-the-fold,6787,759,85
2021-08-01,vip/carousel-v2p-above-the-fold,DEFAULT,8,1
2021-08-01,vip/classiWordingFree,2826,8,2
2021-08-01,vip/seller-with-tooltip,4692,1572,186
2021-08-01,vip/servicesQuoteUnification,DEFAULT,8,2
2021-08-01,vip/shippingCalculatorMigrationModalExperiment,6551,1479,183
2021-08-01,vip/shippingCalculatorMigrationModalExperiment,DEFAULT,9,1
2021-08-01,vip/showV2V3BoxMessages,DEFAULT,12,2
2021-08-01,vip/showV2V3BoxMessages,6430,1650,189
2021-08-02,buyingflow/address_hub,3574,740,633
2021-08-02,buyingflow/escWebMLA,2874,803,597
2021-08-02,buyingflow/secure_card,4612,21,21
2021-08-02,buyingflow/user-track,6796,859,633
2021-08-02,cookiesConsentBanner,DEFAULT,6646,593
2021-08-02,cookiesConsentBanner,6686,27,2
2021-08-02,filters/sort-by-ranking,7057,1903,154
2021-08-02,filters/sort-by-ranking,6972,1900,184
2021-08-02,filters/sort-by-ranking,6971,1941,164
2021-08-02,frontend/assetsCdnDomainMLA,DEFAULT,5591,483
2021-08-02,frontend/assetsCdnDomainMLU,DEFAULT,5590,483
2021-08-02,mclics/ads-adsearch-boost-incremental-desktop-mla,3809,4113,393
2021-08-02,mclics/search-list-algorithms,5528,3938,374
2021-08-02,mclics/search-pads-none-desktop-mla,3479,88,9
2021-08-02,mclics/search-pads-none-desktop-mla,3478,3943,374
2021-08-02,mclics/show-pads-global,5175,87,10
2021-08-02,mclics/show-pads-global,5176,4030,383
2021-08-02,mclics/show-pads-search-list,5146,3943,374
2021-08-02,mclics/show-pads-search-list,5145,88,9
2021-08-02,mshops/HideTransitionModal,6993,16,3
2021-08-02,mshops/HideTransitionModal,6647,16,1
2021-08-02,mshops/HideTransitionModal,6646,16,2
2021-08-02,mshops/HideTransitionModal,DEFAULT,31,0
2021-08-02,pdp/compatibilityWidget,5539,14,0
2021-08-02,pdp/cpgShowOnlyAddToCart,6690,36,4
2021-08-02,pdp/viewItemPageMigrationDesktopHirableSRV,7174,25,0
2021-08-02,pdp/viewItemPageMigrationDesktopHirableSRV,7175,2,0
2021-08-02,pdp/viewItemPageMigrationDesktopQuotableSRV,7178,4,0
2021-08-02,pdp/viewItemPageMigrationDesktopQuotableSRV,7179,22,1
2021-08-02,pdp/viewItemPageMigrationDesktopRES,5941,209,3
2021-08-02,pdp/viewItemPageMigrationDesktopRESDev,6861,4,0
2021-08-02,pdp/viewItemPageMigrationDesktopReviewsNoTabs,DEFAULT,6,0
2021-08-02,pdp/viewItemPageMigrationDesktopReviewsNoTabs,4856,3387,435
2021-08-02,pdp/viewItemPageMigrationReturns,DEFAULT,18,0
2021-08-02,pdp/viewItemPageMigrationReturns,5208,3826,461
2021-08-02,qadb/sa-on-vip,6696,728,82
2021-08-02,qadb/sa-on-vip,6695,687,61
2021-08-02,reviewsOnOff,205,6,0
2021-08-02,search/back-filters,5059,5589,483
2021-08-02,search/back-filters,DEFAULT,5,0
2021-08-02,search/best-seller-aa-testing-fail-fast-edition,4515,2314,218
2021-08-02,search/best-seller-aa-testing-fail-fast-edition,4514,2303,238
2021-08-02,search/best-seller-aa-testing-fail-fast-edition,DEFAULT,1,0
2021-08-02,search/best-seller-fail-fast-edition-MLA,4916,4532,445
2021-08-02,search/best-seller-fail-fast-edition-MLA,DEFAULT,1,0
2021-08-02,search/checkOnBehavior,348,99,13
2021-08-02,search/checkOnBehavior,349,89,11
2021-08-02,search/enable-map-layout,5929,178,2
2021-08-02,search/remove-ecn-tag,4954,5909,576
2021-08-02,search/remove-ecn-tag,DEFAULT,25,0
2021-08-02,search/results-target-web-motors,7327,300,9
2021-08-02,search/results-target-web-motors,7328,279,9
2021-08-02,search/tendency-landing-enabled-MLA,6980,2185,303
2021-08-02,search/ungroup-products,3273,2916,258
2021-08-02,search/web-layout-default-res,6806,95,2
2021-08-02,search/web-layout-default-res,6807,88,1
2021-08-02,searchbackend/cbt-antiboost,6333,5261,481
2021-08-02,searchbackend/item-reputation,3824,5547,483
2021-08-02,searchbackend/official-store-orders-boost,4314,355,23
2021-08-02,searchbackend/official-store-orders-boost,4313,319,35
2021-08-02,searchbackend/recommended-products,6158,2907,236
2021-08-02,searchbackend/recommended-products,6157,2810,256
2021-08-02,searchbackend/seller-reputation-change,4553,4502,379
2021-08-02,searchbackend/seller-reputation-change,4552,1110,108
2021-08-02,splinter/official-stores,4926,31,5
2021-08-02,vip/carousel-v2p-above-the-fold,6787,2317,271
2021-08-02,vip/carousel-v2p-above-the-fold,6786,2471,292
2021-08-02,vip/carousel-v2p-above-the-fold,DEFAULT,26,0
2021-08-02,vip/classiWordingFree,2826,6,0
2021-08-02,vip/seller-with-tooltip,4692,4852,558
2021-08-02,vip/servicesQuoteUnification,DEFAULT,6,0
